serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
752,MAT 2014-2015,নিচের কোনটি ভ্রূণীয় এক্টোডার্ম স্তর থেকে তৈরি হয়?,লোহিত কণিকা,থাইমাস,কেন্দ্রীয় স্নায়ুতন্ত্র,অস্থি সন্ধি,C,"তিনটি ভ্রূণীয় স্তর ও তাদের পরিণতি:
ভ্রূণীয় স্তর → পরিণতি
এক্টোডার্ম → ত্বক, চুল, নখ, স্নায়ুতন্ত্র, চোখের অংশ, পায়ুর আবরণ
মেসোডার্ম → কঙ্কাল, পেশি, রক্ত, লসিকা, যোজক কলা, জনন ও রেচনতন্ত্র
এন্ডোডার্ম → পাকস্থলী, অন্ত্র, শ্বাসতন্ত্র, থাইরয়েড, থাইমাস, অগ্ন্যাশয়, যকৃত"
153,DAT 2024-2025,ট্রিপসিন জারকের জন্যে সঠিক কোনটি?,এন্টারোকাইনেজের উপস্থিতিতে সক্রিয় হয়,লিপিডের উপর কাজ করে,হাইড্রোক্লোরিক এসিডের মাধ্যমে সক্রিয় হয়,পাকস্থলিতে নিঃসৃত হয়,A,"ট্রিপসিন অগ্ন্যাশয় থেকে নিঃসৃত হয়, এন্টারোকাইনেজের উপস্থিতিতে সক্রিয় হয়, প্রোটিনের উপর কাজ করে, কাইমোট্রিপসিনোজেনকে সক্রিয় করে।"
901,MAT 2024-2025,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,কার্বন চক্র,অরনিথিন চক্র,ক্রেবস চক্র,নাইট্রোজেন চক্র,B,"অরনিথিন চক্র এ প্রক্রিয়ায় যকৃত অত্যন্ত বিষাক্ত NH3 কে শর্করা বিপাকে সৃষ্ট CO2 এর সাথে যুক্ত করে ইউরিয়া তৈরি করে, যা মূত্ররূপে দেহ হতে নিষ্কাশিত হয়। NH3 + CO2 → ইউরিয়া।"
188,AFMC 2021-2022,কোন প্রক্রিয়ায় RNA হতে DNA তৈরি হয়?,রিভার্স ট্রান্সক্রিপশন,ট্রান্সলেশন,ট্রান্সক্রিপশন,রেপ্লিকেশন,A,বিভার্স ট্রান্সক্রিপশন প্রক্রিয়ায় ভাইরাল RNA থেকে কমপ্লিমেন্টারি DNA তৈরী করা হয়।
57,MAT 2020-2021,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon,Lactorine,Lysozyme,Defensin,A,ইন্টারফেরন হলো প্রতিরক্ষামূলক প্রোটিন যা ভাইরাস আক্রান্ত কোষে উৎপন্ন হয়ে ভাইরাসের সংখ্যাবৃদ্ধিতে বাঁধা দেয়। এটি ক্যান্সার আক্রান্ত কোষের বৃদ্ধিতেও বাঁধা দিয়ে থাকে।
62,MAT 2020-2021,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Lipase,Pepsin,Lactase,Isomaltase,B,"Lipase → স্নেহ পরিপাককারী এনজাইম।
Isomaltase, Lactase → শর্করা পরিপাককারী এনজাইম।
Pepsin, Trypsin, Chymotrypsin, Aminopeptidase, Carboxypeptidase, Tri/Di-peptidase প্রভৃতি → আমিষ পরিপাককারী এনজাইম।"
446,MAT 2015-2016,মানুষের নবম জোড়া করোটিক স্নায়ুর নাম কী?,হাইপোগ্লোসাল,স্পাইনাল অ্যাকসেসরি,অ্যাবডুসেন্স,গ্লাসোফ্যারিঞ্জিয়াল,D,"গ্লসোফ্যারিঞ্জিয়াল স্নায়ু নবম করোটিক স্নায়ু।
 অন্যান্য অপশন সম্পর্কিত তথ্য:
অ্যাবডুসেন্স স্নায়ু ষষ্ঠ করোটিক স্নায়ু
হাইপোগ্লোসাল স্নায়ু → ১২তম করোটিক স্নায়ু
স্পাইনাল অ্যাকসেসরি স্নায়ু ১১তম করোটিক স্নায়ু"
545,MAT 1989-1990,বৃক্কে বিদ্যমান-,নেফ্রন,নিউরন,মূত্রথলি,ল্যাঙ্গারহ্যান্স এর দ্বীপপুঞ্জ,A,বৃক্কের গাঠনিক ও কার্যকরী একক হচ্ছে নেফ্রন।
973,AFMC 2019-2020,দ্বিপদ নামকরণের জনক কে?,ক্যারোলাস লিনিয়াস,বেন্থাম হুকার,থিওফ্রাস্টাস,মেন্ডেল,A,"দ্বি-পদ নামকরণের জনক: ১৭৫৮ সালে সুইডিস বিজ্ঞানী ক্যারোলাস লিনিয়াস
প্রাণিদের দ্বিপদ নামকরণের নীতি প্রবর্তন করেন। এ জন্য তাকে দ্বি-পদ নামকরনের
জনক বলা হয়।"
305,AFMC 2015-2016,অ্যানিমাল পোলের ক্ষেত্রে কোনটি সঠিক?,ভ্রূণের অংশে বড় বড় কোষ থাকে,প্রাথমিক জীবাণুস্তর তৈরি করেনা,এতে বৃহৎ পরিমাণে কুসুম কোষ রয়েছে,কোষগুলো অনেক দ্রুত বিভাজিত হয়,D,"উন্নয়ন জীববিজ্ঞানে, ভ্রূণ Animal Pole এবং Vegetal Pole নামে দুই ভাগে বিভক্ত হয়।
Animal Pole এ ছোট ছোট কোষ থাকে এবং দ্রুত বিভাজিত হয়।
Vegetal Pole নিচের অংশে থাকে এবং এতে বেশি পরিমাণে কুসুম কোষ থাকে।"
260,DAT 2020-2021,নিচের কোন হরমোনটি রক্তে সোডিয়ামের মাত্রা নিয়ন্ত্রণ করে?,গ্লুকাগন,অ্যালডোস্টেরন,এনজিওটেনসিন,রেনিন,B,"রেনিন - নিষ্ক্রিয় অ্যানজিওটেনসিনোজেনকে সক্রিয় অ্যানজিওটেনসিনে পরিণত করে।
অ্যানজিওটেনসিন - অ্যাড্রেনাল কর্টেক্স থেকে অ্যালডোস্টেরন ক্ষরণকে উদ্দীপিত করে।
গ্লুকাগন - রক্তে গ্লুকোজের পরিমাণ বৃদ্ধি করে।"
254,MAT 2019-2020,হাইড্রার কোন অংশে নিডোসাইট কোষ সবচেয়ে বেশি থাকে?,দেহ প্রাচীর,কর্ষিকা,দেহ কাণ্ড,পাদ-চাকতি,B,"Hydra-র পাদচাকতি ব্যতীত দেহের সর্বত্র নিডোসাইট কোষ বিদ্যমান থাকে। তবে, কর্ষিকাতে এদের সংখ্যা অধিক।"
