source,reference,prediction,latency,error,_idx
লেখক অধ্যাপক অমল কুমার চৌধুরী অধ্যাপক কার্ডিওলজি বিভাগ ন্যাশনাল ইন্সটিটিউট অব কার্ডিওভাসকুলার ডিজিজ এনআইসিভিডি,লেখক অধ্যাপক অমল কুমার চৌধুরী প্রফেসর কার্ডিওলজি বিভাগের ন্যাশনাল ইনস্টিটিউট অফ কার্ডিওভাসকুলার ডিজিজেস এনআইসিভিডি,ন্যাশনাল ইন্সটিটিউট অব কার্ডিওভাসকুলার ডিজিজ (এনআইসিভিডি)-র কার্ডিওলজি বিভাগের অধ্যাপক ও লেখক অমল কুমার চৌধুরী।,6.44981131700024,,
এ জন্য কিছু পরীক্ষা করা যেতে পারে এবং সুষম খাওয়ার অভ্যাস করতে হবে,এ জন্য কিছু পরীক্ষা করা যেতে পারে এবং সুষম খাবারের অভ্যাস করতে হবে।,এই কারণে কিছু পরীক্ষা চালানো যেতে পারে এবং সুষম খাদ্যাভ্যাস গড়ে তুলতে হবে।,4.038513121000051,,
প্রচুর পরিমাণে পানি বা তরল খাবার ও ভিটামিন সিযুক্ত খাবার খেতে হবে,প্রচুর পানি বা তরল পান করুন এবং ভিটামিন সি সমৃদ্ধ খাবার খান।,প্রচুর পানি ও তরল খাদ্য এবং ভিটামিনসমৃদ্ধ খাবার গ্রহণ করা জরুরি।,2.1311545640000986,,
কারণ প্রতিযোগিতার এ সময়ে কর্মক্ষেত্রে ইন্টারভিউয়ে সামাজিক অনুষ্ঠানে নিজেকে যোগ্য ও ভিন্নভাবে উপস্থাপনের চেষ্টা,কারণ প্রতিযোগিতার এই সময়ে কর্মক্ষেত্রের সাক্ষাৎকারে সামাজিক অনুষ্ঠানে নিজেকে যোগ্য ও ভিন্নভাবে উপস্থাপন করার চেষ্টা করুন।,প্রতিযোগিতার এই সময়ে চাকরির ইন্টারভিউ ও সামাজিক অনুষ্ঠানে নিজেকে দক্ষ ও স্বতন্ত্রভাবে তুলে ধরার প্রচেষ্টা।,14.03225501299994,,
টুপি পরে বা অন্য কোনো চুলের প্রসাধনীর সাহায্যে চুলকে সুরক্ষিত রাখতে হবে,একটি টুপি বা অন্যান্য চুলের আনুষাঙ্গিক পরা দ্বারা চুল সুরক্ষিত করা উচিত।,চুলকে সুরক্ষিত রাখতে টুপি ব্যবহার করা যেতে পারে বা যেকোনো চুলের প্রসাধনীও কাজ করবে।,2.7509343950000584,,
পার্বত্য অঞ্চলের উর্বর জমিগুলোতে ব্যাপক আকারে তামাক চাষ হচ্ছে,পার্বত্য অঞ্চলের উর্বর জমিতে ব্যাপক হারে তামাক চাষ হয়।,পাহাড়ি এলাকার উপজোর জমিগুলোতে ব্যাপক পরিমাণে তামাকের চাষ চলছে।,1.9296356029999515,,
যেহেতু এখনো নভেল করোনাভাইরাসের কোন ভ্যাকসিন আবিষ্কৃত হয়নি তাই আমরা হার্ড ইমিউনিটি বলতে বেশিরভাগ মানুষের জীবাণুর সংস্পর্শে আসাকে বুঝাচ্ছি,"যেহেতু নোভেল করোনাভাইরাসের কোনো ভ্যাকসিন আবিষ্কৃত হয়নি, তাই আমরা সবচেয়ে বেশি লোকের ভাইরাসের সংস্পর্শে আসার জন্য কঠোর প্রতিরোধ ক্ষমতা ব্যবহার করি।",,11.287800884999797,request_error:'NoneType' object has no attribute 'strip',
বলা হয় সর্বশেষ ২৪ ঘণ্টায় মঙ্গলবার সকাল আটটা থেকে বুধবার সকাল আটটা পর্যন্ত ডেঙ্গু নিয়ে ২৯৬ জন দেশের বিভিন্ন হাসপাতালে ভর্তি হয়েছেন,মঙ্গলবার সকাল ৮টা থেকে বুধবার সকাল ৮টা পর্যন্ত গত ২৪ ঘণ্টায় ডেঙ্গুতে আক্রান্ত হয়ে দেশের বিভিন্ন হাসপাতালে ২৯৬ জন ভর্তি হয়েছেন বলে জানা গেছে।,গত ২৪ ঘণ্টায় মঙ্গলবার সকাল ৮টা থেকে বুধবার সকাল ৮টা পর্যন্ত ডেঙ্গু আক্রান্ত হয়ে দেশের বিভিন্ন হাসপাতালে ২৯৬ জন ভর্তি হয়েছেন বলে জানা গেছে।,87.02050657699965,,
তবে ওষুধের ব্যবহার সম্পর্কে বিশ্ব স্বাস্থ্য সংস্থা সতর্ক করে দিয়েছে,তবে ওষুধের ব্যবহার নিয়ে সতর্ক করেছে বিশ্ব স্বাস্থ্য সংস্থা।,বিশ্ব স্বাস্থ্য সংস্থা ওষুধ ব্যবহারের ব্যাপারে সাবধান করে দিয়েছে।,0.5161324270002297,,
" চীনাবাদামে পর্যাপ্ত অ্যান্টি-অক্সিডেন্ট থাকে, যা ক্যানসার প্রতিরোধ করে",চিনাবাদামে রয়েছে পর্যাপ্ত অ্যান্টি-অক্সিডেন্ট যা ক্যান্সার প্রতিরোধ করে।,"চীনাবাদামে যথেষ্ট অ্যান্টি-অক্সিডেন্ট বিদ্যমান, যা ক্যানসার প্রতিরোধে সাহায্য করে।",2.3728107110000565,,
এতে শরীরের কোনো ক্ষতি হয় না,এতে শরীরের কোনো ক্ষতি হয় না।,এতে দেহের কোনো ক্ষতি হয় না।,4.750893762000032,,
তবে এমন খবরে আতঙ্কিত হননি বলে জানান তিনি,তবে এ ধরনের খবরে তিনি ভীত নন বলে জানান।,"তিনি জানান, এমন খবরে তিনি আতঙ্কিত হননি।",1.7538939480000408,,
সম্পূর্ণ সেদ্ধ হয়ে পানি শুকিয়ে যাওয়া পর্যন্ত মাঝারি আঁচে রান্না করুন,মাঝারি আঁচে রান্না করুন যতক্ষণ না সম্পূর্ণ সিদ্ধ হয় এবং জল শুকিয়ে যায়।,মাঝারি তাপে রান্না করুন যতক্ষণ না পুরোপুরি সেদ্ধ হয়ে পানি শুকিয়ে যায়।,1.3597264139998515,,
