text,label,Gemini_3.1_Flash_preview
আমার মেয়ের বয়স ২১+মাস জুলাই থেকে বুকের দুধ বন্ধ করে দিতে চাইছি... কি উপায়ে বন্ধ করা যায়।,INQ,INQ
১৬ মাসের বাচ্চাকে pran or milkvita ei দুধ খাওয়ানো যাবে?,INQ,INQ
কি করে ওকে আবার সলিড খাওয়াইতে পারবো কেউ কি বলতে পারবেন?,INQ,INQ
প্রেসারকুকার এ যারা বাচ্চাদের খাবার রান্না করেন? তারা কত লিটার এর টা ব্যাবহার করেন?,INQ,INQ
অয়েন্টমেন্ট দিয়েই কি ঠিক হয়ে যাবে?,INQ,INQ
যাদের মেয়ে বাবুর এরকম হয়েছে কতদিন লেগেছে ঠিক হতে?,INQ,INQ
"আমার বাচ্চার হাগু হয় না রেগুলার, কোন দিক দিয়ে হাওয়া দিতে হবে বলেন আপু",INQ,INQ
"মুরুব্বি রা বলতেসে ছোট বাচ্চা যত বেশি কোলে থাকে তত কম ওদের গ্রোথ হয়, শরীর বড় হয় না। এটা কি আসলেই সত্ত্য?",INQ,INQ
প্লিজ আপুরা একটু সাজেশন দিন কি করতে পারি..,INQ,INQ
"বাচ্চা টার টেনশন এ থাকি সারাক্ষন, মাথায় আর নিতে পারি না।আর কারো কি এমন হয়?",INQ,INQ
আমার প্রশ্ন হল  তবে কিসের পানি সহ ব্লাড বের হল?,INQ,INQ
একদম ছোট নরম ব্রিসেল এর বেবি টুথ ব্রাশ কোথায় পাবো? ইউ শেইপ গুলো ছাড়া৷ বেবি দের এইজ ১৯ মাস।,INQ,INQ
বাচ্চার সুন্নতে খাতনা কোথায় করালে ভালো হবে ঢাকার ভিতরে?,INQ,INQ
আচ্ছা আপুরা সকালের নাস্তায় বাবুকে কি দেন।,INQ,INQ
এমনতোঅবস্থায় দুধ শুকানোর কি কোন মেডিসিন আছে?,INQ,INQ
১) এই অবস্থায় আমি কিভাবে ফিডারে দুধ খাওয়ানোর অভ্যাস করতে পারি?,INQ,INQ
কিভাবে ওকে ওষুধ খাওয়ানো যায় কোন প্রসেস আছে?,INQ,INQ
আমাকে কেউ সাজেশন দিন কিভাবে বাবুর দুধ ছাড়িয়েছেন।,INQ,INQ
সে জাস্ট মুখে পুরে রাখে। কি করা উচিত আমার?,INQ,INQ
"মায়েরা প্লিজ আপনাদের কারো বাবুর সাথে কি এমন হয়েছে এখন আমার করনীয় কি, বেবীটা অনেক কষ্ট পাচ্ছে।।",INQ,INQ
প্লিজ আমাকে সাজেশন দিয়ে উপকৃত করবেন।।,INQ,INQ
তাহলে আপনি কি ফরমালিন দিবেন অরে?,INQ,INQ
কমাতে আমি পিসিফায়ার দেয়। এতে কি কোন সমস্যা হবে??,INQ,INQ
দয়া করে আমাকে একটু হেল্প করেন।,INQ,INQ
আর কিভাবে খাওয়ানো যায়? আপনারা কিভাবে দেন আপুরা? রেসিপি শেয়ার করবেন প্লিজ?,INQ,INQ
বাবুকে দুধ ছাড়ানোর পরে রাতে কি অন্য কিছু দিতে হবে ঘুমের মদ্ধে??,INQ,INQ
এখন দুধ ছাড়ানোর পরে কি শুধু বাড়তি খাবার দিবো??,INQ,INQ
রাতে কিছু চাইলে কি করতে হবে তখন??,INQ,INQ
"এইটা খাওয়ানো নিয়ম টা জানাবেন, ভিতরে কোন ও স্পুন নেই!!",INQ,INQ
এমন হওয়াটা কি স্বাভাবিক?,INQ,INQ
৫ ঘন্টায় একটা প্যাড কভার হয়ে যাওয়া কি বেশি ব্লিডিং?,INQ,INQ
"ওর ওজন ৩ কেজি ৯০০ গ্রাম মাত্র মাপলাম, এটা কি কম ওজন?",INQ,INQ
আর ১ মাস এর বেবির জর আসলে ডাক্তার কি নাপা drops খাওয়াতে বলেছিল আপনাদের কাউকে?,INQ,INQ
কেউ কেউ আবার বলে নাপা  নবজাতকের জন্য ভাল্ না?।,INQ,INQ
"আমার প্রশ্ন হল, আমি কি ওকে ফর্মুলা দুধ দিব?",INQ,INQ
nido 1+ এর পরিবর্তে কি দেয়া যায়?,INQ,INQ
গত ২-৩মাসের মধ্যে যারা বাংলাদেশ স্পেশালাইজড হস্পিটালে সিজারিয়ান ডেলিভারি করেছেন তাদের বিল কেমন এসেছিল একটু শেয়ার করবেন কি?,INQ,INQ
সিজারিয়ান ডেলিভারির প্যাকেজ কত?,INQ,INQ
ওর এই রাত জাগার অভ্যাস কিভাবে দূর করব।,INQ,INQ
কারো কি বাচ্চা নিয়ে এমন এক্সপেরিয়েন্স আছে?,INQ,INQ
থাকলে প্লীজ সাজেস্ট করবেন আমাকে প্লীজ প্লীজ প্লীজ।,INQ,INQ
এ অবস্থায় কি বাচ্চাকে ব্রয়লার মুরগির ডিম দেয়া যাবে???,INQ,INQ
বাচ্চারা পরিষ্কার করে কত বছর থেকে কথা বলতে পারে?,INQ,INQ
এটা কি ও ওর বাবার থেকে জেনেটিকালি পেয়েছে?,INQ,INQ
নিচে ভিডিও দিলাম অভিজ্ঞ মায়েরা একটু শুনে বলবেন,INQ,INQ
"বাচ্চাদের ৩.৫ মাসের দিকে যে হাত খাওয়া শুরু হয়, সেটা কি এমনি এমনি চলে যায়?",INQ,INQ
