sl,id,source_sentence,paraphrased_sentence
119738,95739,লেখক অধ্যাপক অমল কুমার চৌধুরী অধ্যাপক কার্ডিওলজি বিভাগ ন্যাশনাল ইন্সটিটিউট অব কার্ডিওভাসকুলার ডিজিজ এনআইসিভিডি,লেখক অধ্যাপক অমল কুমার চৌধুরী প্রফেসর কার্ডিওলজি বিভাগের ন্যাশনাল ইনস্টিটিউট অফ কার্ডিওভাসকুলার ডিজিজেস এনআইসিভিডি
72273,45168,এ জন্য কিছু পরীক্ষা করা যেতে পারে এবং সুষম খাওয়ার অভ্যাস করতে হবে,এ জন্য কিছু পরীক্ষা করা যেতে পারে এবং সুষম খাবারের অভ্যাস করতে হবে।
158155,136661,প্রচুর পরিমাণে পানি বা তরল খাবার ও ভিটামিন সিযুক্ত খাবার খেতে হবে,প্রচুর পানি বা তরল পান করুন এবং ভিটামিন সি সমৃদ্ধ খাবার খান।
65427,37964,কারণ প্রতিযোগিতার এ সময়ে কর্মক্ষেত্রে ইন্টারভিউয়ে সামাজিক অনুষ্ঠানে নিজেকে যোগ্য ও ভিন্নভাবে উপস্থাপনের চেষ্টা,কারণ প্রতিযোগিতার এই সময়ে কর্মক্ষেত্রের সাক্ষাৎকারে সামাজিক অনুষ্ঠানে নিজেকে যোগ্য ও ভিন্নভাবে উপস্থাপন করার চেষ্টা করুন।
30075,112,টুপি পরে বা অন্য কোনো চুলের প্রসাধনীর সাহায্যে চুলকে সুরক্ষিত রাখতে হবে,একটি টুপি বা অন্যান্য চুলের আনুষাঙ্গিক পরা দ্বারা চুল সুরক্ষিত করা উচিত।
23678,28189,পার্বত্য অঞ্চলের উর্বর জমিগুলোতে ব্যাপক আকারে তামাক চাষ হচ্ছে,পার্বত্য অঞ্চলের উর্বর জমিতে ব্যাপক হারে তামাক চাষ হয়।
134859,111741,যেহেতু এখনো নভেল করোনাভাইরাসের কোন ভ্যাকসিন আবিষ্কৃত হয়নি তাই আমরা হার্ড ইমিউনিটি বলতে বেশিরভাগ মানুষের জীবাণুর সংস্পর্শে আসাকে বুঝাচ্ছি,"যেহেতু নোভেল করোনাভাইরাসের কোনো ভ্যাকসিন আবিষ্কৃত হয়নি, তাই আমরা সবচেয়ে বেশি লোকের ভাইরাসের সংস্পর্শে আসার জন্য কঠোর প্রতিরোধ ক্ষমতা ব্যবহার করি।"
176419,156278,বলা হয় সর্বশেষ ২৪ ঘণ্টায় মঙ্গলবার সকাল আটটা থেকে বুধবার সকাল আটটা পর্যন্ত ডেঙ্গু নিয়ে ২৯৬ জন দেশের বিভিন্ন হাসপাতালে ভর্তি হয়েছেন,মঙ্গলবার সকাল ৮টা থেকে বুধবার সকাল ৮টা পর্যন্ত গত ২৪ ঘণ্টায় ডেঙ্গুতে আক্রান্ত হয়ে দেশের বিভিন্ন হাসপাতালে ২৯৬ জন ভর্তি হয়েছেন বলে জানা গেছে।
132468,109237,তবে ওষুধের ব্যবহার সম্পর্কে বিশ্ব স্বাস্থ্য সংস্থা সতর্ক করে দিয়েছে,তবে ওষুধের ব্যবহার নিয়ে সতর্ক করেছে বিশ্ব স্বাস্থ্য সংস্থা।
4083,4788," চীনাবাদামে পর্যাপ্ত অ্যান্টি-অক্সিডেন্ট থাকে, যা ক্যানসার প্রতিরোধ করে",চিনাবাদামে রয়েছে পর্যাপ্ত অ্যান্টি-অক্সিডেন্ট যা ক্যান্সার প্রতিরোধ করে।
74457,47504,এতে শরীরের কোনো ক্ষতি হয় না,এতে শরীরের কোনো ক্ষতি হয় না।
142134,119433,তবে এমন খবরে আতঙ্কিত হননি বলে জানান তিনি,তবে এ ধরনের খবরে তিনি ভীত নন বলে জানান।
186434,166328,সম্পূর্ণ সেদ্ধ হয়ে পানি শুকিয়ে যাওয়া পর্যন্ত মাঝারি আঁচে রান্না করুন,মাঝারি আঁচে রান্না করুন যতক্ষণ না সম্পূর্ণ সিদ্ধ হয় এবং জল শুকিয়ে যায়।
84661,58334,হাঁটতে গেলে মানুষ কেন হাঁপিয়ে ওঠে এ বিষয়ে বিস্তারিত জানিয়েছেন মুন্নু মেডিকেল কলেজ ও হাসপাতালের হৃদরোগ বিভাগের প্রধান  অধ্যাপক ডা মোহাম্মদ সাইফউল্লাহ,মুন্নু মেডিক্যাল কলেজ ও হাসপাতালের কার্ডিওলজি বিভাগের প্রধান অধ্যাপক ডাঃ মোহাম্মদ সাইফুল্লাহ কেন হাঁটার সময় হাঁটতে হাঁটতে হাঁটতে পারে সে সম্পর্কে বিস্তারিত জানিয়েছেন।
117168,93017,সেখান থেকেই মূলত মেডিসিনের প্রতি তার বিশেষ আগ্রহ তৈরি হয়,সেখান থেকেই চিকিৎসার প্রতি তার বিশেষ আগ্রহ গড়ে ওঠে।
110853,86323,যে কেউই করোনা আক্রান্ত হতে পারেন,যে কেউ করোনা ভাইরাসে আক্রান্ত হতে পারে।
105001,80124,ক্রনিক মায়েলোয়েড লিউকেমিয়া সিএমএল তার মধ্যে অন্যতম,ক্রনিক মাইলয়েড লিউকেমিয়া সিএমএল তাদের মধ্যে একটি।
181464,161342,জ্বাল কমিয়ে ভাজা ভাজা করে রান্না করুন,আঁচ কমিয়ে ভাজা না হওয়া পর্যন্ত রান্না করুন।
